title,single_drugs_str
Synergistic Anti-Tumor Effect of mTOR Inhibitors with Irinotecan on Colon Cancer Cells,AZD2014; Irinotecan; Oxaliplatin
https://www.mdpi.com/2072-6694/11/10/1581,Irinotecan
"Targeting Methionine Addiction Combined With Low-dose Irinotecan Arrested Colon Cancer in Contrast to High-dose Irinotecan Alone, Which Was Ineffective, in a Nude-mouse Model",Irinotecan
Low-dose decitabine enhances the effect of PD-1 blockade in colorectal cancer with microsatellite stability by re-modulating the tumor microenvironment,Decitabine; anti-PD-1
Metformin Inhibits Cellular Proliferation and Bioenergetics in Colorectal Cancer Patient?Derived Xenografts,5-FU; Metformin
Vincristine Enhances the Efficacy of MEK Inhibitors in Preclinical Models of KRAS-mutant Colorectal Cancer,Trametinib; Vincristine
PI3K inhibition enhances the anti-tumor effect of eribulin in triple negative breast cancer,BKM120; Eribulin
Integrative In Vivo Drug Testing Using Gene Expression Signature and Patient-Derived Xenografts from Treatment-Refractory HER2 Positive and Triple-Negative Subtypes of Breast Cancer,Bevacizumab; Docetaxel; Everolimus; Neratinib; PX-478; Sorafenib
Targeting mTOR pathway inhibits tumor growth in different molecular subtypes of triple-negative breast cancers,AZD2014; Everolimus
mTOR Inhibition and T-DM1 in HER2-Positive Breast Cancer,Everolimus; T-MD1
"Combining Neratinib with CDK4/6, mTOR, and MEK Inhibitors in Models of HER2-positive Cancer",Everolimus; Neratinib; Palbociclib; Trametinib
Cetuximab PET delineated changes in cellular distribution of EGFR upon dasatinib treatment in triple negative breast cancer,Cetuximab; Dasatinib
Synergistic action of the MCL-1 inhibitor S63845 with current therapies in preclinical models of triple-negative and HER2-amplified breast cancer,Docetaxel; S63845; Trastuzumab
"Expression of MT4-MMP, EGFR, and RB in Triple-Negative Breast Cancer Strongly Sensitizes Tumors to Erlotinib and Palbociclib Combination Therapy",erlotinib; palbociclib
Inhibition of basal-like breast cancer growth by FTY720 in combination with epidermal growth factor receptor kinase blockade,FTY720; Gefitinib
"Doublet and Triplet Combinations of Eribulin, Fulvestrant, and Palbociclib in Preclinical Breast Cancer Models",Eribulin; Fulvestrant; Palbociclib
A Population of Heterogeneous Breast Cancer Patient-Derived Xenografts Demonstrate Broad Activity of PARP Inhibitor in BRCA1/2 Wild-Type Tumors?,trametinib
LIFR inhibition enhances the therapeutic efficacy of HDAC inhibitors in triple negative breast cancer,EC359; Vorinostat
Dual Fatty Acid Synthase and HER2 Signaling Blockade Shows Marked Antitumor Activity against Breast Cancer Models Resistant to Anti-HER2 Drugs,EGCG; Temsirolimus
Synergistic Effect of the γ-Secretase Inhibitor PF-03084014 and Docetaxel in Breast Cancer Models,Docetaxel; PF-03084014
DZ-2384 has a superior preclinical profile to taxanes for the treatment of triple-negative breast cancer and is synergistic with anti-CTLA-4 immunotherapy,DZ-2384; paclitaxel
"A Triple-negative Matrix-producing Breast Carcinoma Patient-derived Orthotopic Xenograft (PDOX) Mouse Model Is Sensitive to Bevacizumab and Vinorelbine, Regressed by Eribulin and Resistant to Olaparib",bevacizumab; eribulin; olaparib; vinorelbine
"Activity of docetaxel, carboplatin, and doxorubicin in patient-derived triple-negative breast cancer xenografts",Carboplatin; Docetaxel; Doxorubicin; carboplatin; docetaxel
Live Cell Mass Accumulation Measurement Non-Invasively Predicts Carboplatin Sensitivity in Triple-Negative Breast Cancer Patient-Derived Xenografts,Carboplatin
JAK2 regulates paclitaxel resistance in triple negative breast cancers,Paclitaxel
Selinexor (KPT-330) demonstrates anti-tumor efficacy in preclinical models of triple-negative breast cancer,Carboplatin; Eribulin; paclitaxel; selinexor
Pharmacometabolomics reveals urinary diacetylspermine as a biomarker of doxorubicin effectiveness in triple negative breast cancer,Doxorubicin
Carbon nanotube capsules enhance the?in vivo?efficacy of cisplatin,Cisplatin(CDDP)
HORMAD1?overexpression predicts response to anthracycline?cyclophosphamide and survival in triple-negative breast cancers,Adriamycin (doxorubicin); cyclophosphamide
Capecitabine Efficacy Is Correlated with TYMP and RB1 Expression in PDX Established from Triple-Negative Breast Cancers?,Adriamycin (doxorubicin); Capecitabine; Capecitabine without pretreatment; Cisplatin; Docetaxel; Fluorouracil(5-FU); Paclitaxel; bevacizumab; cyclophosphamide; vinorebine
Inhibition of mTOR downregulates expression of DNA repair proteins and is highly efficient against BRCA2-mutated breast cancer in combination to PARP inhibition,Everolimus; Olaparib
ATM kinase inhibitor AZD0156 in combination with irinotecan and 5-fluorouracil in preclinical models of colorectal cancer,AZD0156; Irinotecan; fluorouracil
Sunitinib facilitates metastatic breast cancer spreading by inducing endothelial cell senescence,Sunitinib
A Model of Postsurgical Advanced Metastatic Breast Cancer More Accurately Replicates the Clinical Efficacy of Antiangiogenic Drugs,Paclitaxel; Sunitinib
Combinatorial inhibition of PTPN12-regulated receptors leads to a broadly effective therapeutic strategy in triple-negative breast cancer,Crizotinib; Sunitinib
Establishment of chemosensitivity tests in triple-negative and BRCA-mutated breast cancer patient-derived xenograft models,Carboplatin; Olaparib
The mitotic checkpoint is a targetable vulnerability of carboplatin-resistant triple negative breast cancers,Carboplatin; Prexasertib
Wnt/β-Catenin Inhibition Disrupts Carboplatin Resistance in Isogenic Models of Triple-Negative Breast Cancer,Carboplatin; LGK974
Exploitation of Sulfated Glycosaminoglycan Status for Precision Medicine of Triplatin in Triple-Negative Breast Cancer?,Carboplatin; Triplatin
Cyclin E Overexpression Sensitizes Triple-Negative Breast Cancer to Wee1 Kinase Inhibition,AZD1775; Carboplatin
Dual mTOR Kinase Inhibitor MLN0128 Sensitizes HR+/HER2+?Breast Cancer Patient-Derived Xenografts to Trastuzumab or Fulvestrant,Trastuzumab
Acquired resistance to trastuzumab/pertuzumab or to T-DM1 in vivo can be overcome by HER2 kinase inhibition with TAS0728,TAS0728; Trastuzumab; pertuzumab
A novel anti-HER2 antibody GB235 reverses Trastuzumab resistance in HER2-expressing tumor cells?in vitro?and?in vivo,GB235; Trastuzumab
Targeting HER2-AXL heterodimerization to overcome resistance to HER2 blockade in breast cancer,TP-0903; Trastuzumab
Acquired Resistance to Endocrine Treatments Is Associated with Tumor-Specific Molecular Changes in Patient-Derived Luminal Breast Cancer Xenografts,Everolimus
SHOC2 mediates the drug-resistance of triple-negative breast cancer cells to everolimus,Everolimus; shCtrl; shSHOC2
The iron chelator deferasirox synergises with chemotherapy to treat triple-negative breast cancers,Adriamycin (doxorubicin); DFX; cyclophosphamide
Discovery of a Glucocorticoid Receptor (GR) Activity Signature Using Selective GR ANTagonism in ER-Negative Breast Cancer,CORT108297; Paclitaxel
A human breast cancer-derived xenograft and organoid platform for drug discovery and precision oncology,Docetaxel
IdeNTification of Src Family Kinases as PoteNTial Therapeutic Targets for Chemotherapy-ResistaNT Triple Negative Breast Cancer,Dasatinib; Paclitaxel
Doxorubicin Conjugation to Reovirus Improves Oncolytic Efficacy in Triple-Negative Breast Cancer,Doxorubicin
ElacestraNT demonstrates strong aNTi-estrogenic activity in PDX models of estrogen-receptor positive endocrine-resistaNT and fulvestraNT-resistaNT breast cancer,ElacestraNT
ElacestraNT (RAD1901) exhibits aNTi-tumor activity in multiple ER+ breast cancer models resistaNT to CDK4/6 inhibitors,ElacestraNT; FulvestraNT; Palbociclib
Oxidative Phosphorylation Is a Metabolic Vulnerability in Chemotherapy-ResistaNT Triple-Negative Breast Cancer,IACS-10759; Palbociclib
Neratinib Synergizes with Trastuzumab ANTibody Drug Conjugate or with Vinorelbine to Treat HER2 Mutated Breast Cancer PatieNT Derived Xenografts and Organoids,Neratinib; Vinorelbine
Selective Androgen Receptor Modulator RAD140 Inhibits the Growth of Androgen/Estrogen Receptor?Positive Breast Cancer Models with a Distinct Mechanism of Action,Palbociclib; RAD140
The triptolide derivative MRx102 inhibits WNT pathway activation and has poteNT aNTi-tumor effects in lung cancer,Carboplatin; MRx102
Combining CDK4/6 inhibition with taxanes enhances aNTi-tumor efficacy by sustained impairmeNT of pRB-E2F pathways in squamous cell lung cancer,Docetaxel; Palbociclib
Evaluation of Combined Chemotherapy and Genomic-Driven Targeted Therapy in PatieNT-Derived Xenografts IdeNTifies New Therapeutic Approaches in Squamous Non-Small-Cell Lung Cancer PatieNTs,Carboplatin; Cisplatin; Etoposide; Gemcitabine; Paclitaxel; Pemetrexed
3-Dimensional PatieNT-Derived Lung Cancer Assays Reveal Resistance to Standards-of-Care Promoted by Stromal Cells but Sensitivity to Histone Deacetylase Inhibitors?,Carboplatin; Paclitaxel
Preclinical ANTitumor Efficacy of BAY 1129980?a Novel Auristatin-Based ANTi-C4.4A (LYPD3) ANTibody?Drug Conjugate for the TreatmeNT of Non?Small Cell Lung Cancer,Carboplatin; Cisplatin; Docetaxel
Role of mTOR As an EsseNTial Kinase in SCLC,AZD-8055; Cisplatin; Etoposide
The FACT inhibitor CBL0137 Synergizes with Cisplatin in Small-Cell Lung Cancer by Increasing?NOTCH1?Expression and Targeting Tumor-Initiating Cells,CBL1037; Cisplatin
CDK4/6 Inhibitors Impede Chemoresistance and Inhibit Tumor Growth of Small Cell Lung Cancer,Cisplatin; Etoposide
Rapamycin Rescues ABT-737 Efficacy in Small Cell Lung Cancer,ABT-737; Etoposide
Cisplatin Increases Sensitivity to FGFR Inhibition in PatieNT-Derived Xenograft Models of Lung Squamous Cell Carcinoma?,BGJ398; Cisplatin
Sensitization of EGFR Wild-Type Non?Small Cell Lung Cancer Cells to EGFR-Tyrosine Kinase Inhibitor Erlotinib,Cisplatin; Erlotinib
RET fusions observed in lung and colorectal cancers are sensitive to ponatinib,Cisplatin; Ponatinib
A combinatorial strategy for treating KRAS-mutaNT lung cancer,Ponatinib; Trametinib
PatieNT-derived non-small cell lung cancer xenograft mirrors complex tumor heterogeneity,Atezolizumab; Cisplatin
DiffereNTial ANTitumor Activity of Aflibercept and Bevacizumab in PatieNT-Derived Xenograft Models of Colorectal Cancer,Bevacizumab
DiscoNTinuous Schedule of Bevacizumab in Colorectal Cancer Induces Accelerated Tumor Growth and Phenotypic Changes,Bevacizumab
Analysis of genomic and non-genomic signaling of estrogen receptor in PDX models of breast cancer treated with a combination of the PI3K inhibitor alpelisib (BYL719) and fulvestraNT,BYL719; FulvestraNT
Nanoparticle-Based Combination Therapy Enhances FulvestraNT Efficacy and Overcomes Tumor Resistance in ER-Positive Breast Cancer,Abemaciclib; FulvestraNT
Modeling the novel SERD elacestraNT in cultured fulvestraNT-refractory HR-positive breast circulating tumor cells,FulvestraNT
ElacestraNT demonstrates strong aNTi-estrogenic activity in PDX models of estrogen-receptor positive endocrine-resistaNT and fulvestraNT-resistaNT breast cancer,FulvestraNT
Combination of mTORC1/2 inhibitor vistusertib plus fulvestraNT in vitro and in vivo targets oestrogen receptor-positive endocrine-resistaNT breast cancer,FulvestraNT; vistusertib
Targeting activated PI3K/mTOR signaling overcomes acquired resistance to CDK4/6-based therapies in preclinical models of hormone receptor-positive breast cancer,Alpelisib; FulvestraNT; Palbociclib; Ribociclib
Effective combination therapies in preclinical endocrine resistaNT breast cancer models harboring ER mutations,Everolimus; FulvestraNT; Palbociclib
"ElacestraNT (RAD1901), a Selective Estrogen Receptor Degrader (SERD), Has ANTitumor Activity in Multiple ER+?Breast Cancer PatieNT-derived Xenograft Models",Everolimus; FulvestraNT; Palbociclib
Oral Estrogen Receptor PROTAC VepdegestraNT (ARV-471) Is Highly Efficacious as Monotherapy and in Combination with CDK4/6 or PI3K/mTOR Pathway Inhibitors in Preclinical ER+?Breast Cancer Models,FulvestraNT
PI3K inhibition results in enhanced estrogen receptor function and dependence in hormone receptor?positive breast cancer,BYL719; FulvestraNT
AKT ANTagonist AZD5363 Influences Estrogen Receptor Function in Endocrine-ResistaNT Breast Cancer and Synergizes with FulvestraNT (ICI182780)?In Vivo,AZD5363; FulvestraNT
Combining the AKT inhibitor capivasertib and SERD fulvestraNT is effective in palbociclib-resistaNT ER+ breast cancer preclinical models,FulvestraNT; capivasertib
"Preclinical Evaluation and Phase Ib Study of Prexasertib, a CHK1 Inhibitor, and Samotolisib (LY3023414), a Dual PI3K/mTOR Inhibitor",Prexasertib; Samotolisib
Abemaciclib Is Effective in Palbociclib-ResistaNT Hormone Receptor?Positive Metastatic Breast Cancers,Abemaciclib; Palbociclib
HER4 Affects Sensitivity to Tamoxifen and Abemaciclib in Luminal Breast Cancer Cells and Restricts Tumor Growth in MCF-7-Based Humanized Tumor Mice,Abemaciclib; tamoxifen
Dual Targeting of CDK4/6 and BCL2 Pathways AugmeNTs Tumor Response in Estrogen Receptor?Positive Breast Cancer,FulvestraNT; Palbociclib
"ARX788, a Site-specific ANTi-HER2 ANTibody?Drug Conjugate, Demonstrates PoteNT and Selective Activity in HER2-low and T-DM1?resistaNT Breast and Gastric Cancers",ado-trastuzumab emtansine
Combined inhibition of CDK4/6 and AKT is highly effective against the luminal androgen receptor (LAR) subtype of triple negative breast cancer,Alpelisib; Capivasertib; Palbociclib
Mediator kinase inhibitors suppress triple-negative breast cancer growth and extend tumor suppression by mTOR and AKT inhibitors,Capivasertib; Everolimus
Pharmacological Targeting of Androgen Receptor Elicits CoNText-Specific Effects in Estrogen Receptor?Positive Breast Cancer,FulvestraNT
Targeting transcription of?MCL-1?sensitizes?HER2-amplified breast cancers to HER2 inhibitors,Lapatinib; Neratinib
Targeting transcription of?MCL-1?sensitizes?HER2-amplified breast cancers to HER2 inhibitors,Neratinib
Multi-kinase inhibitors iNTeract with sildenafil and ERBB1/2/4 inhibitors to kill tumor cells?in vitro?and?in vivo,Afatinib; Lapatinib; Sildenafil; Sorafenib
Acquired Resistance to Endocrine TreatmeNTs Is Associated with Tumor-Specific Molecular Changes in PatieNT-Derived Luminal Breast Cancer Xenografts,Everolimus; FulvestraNT; Letrozole; Ovariectomy; Tamoxifen
Targeting the receptor tyrosine kinase RET in combination with aromatase inhibitors in ER positive breast cancer xenografts,AST487; Letrozole
KK-LC-1 as a therapeutic target to eliminate ALDH+ stem cells in triple negative breast cancer,Docetaxel; Z8
Neratinib plus trastuzumab is superior to pertuzumab plus trastuzumab in HER2-positive breast cancer xenograft models,ED/Neratinib; ED/Pertuzumab; ED/Trastuzumab; Neratinib; Pertuzumab; Trastuzumab
Early stability and late random tumor progression of a HER2-positive primary breast cancer patieNT-derived xenograft,Neratinib; Tamoxifen; Trastuzumab
BRCA1-methylated triple negative breast cancers previously exposed to neoadjuvaNT chemotherapy form RAD51 foci and respond poorly to olaparib,Carboplatin; Olaparib
A Population of Heterogeneous Breast Cancer PatieNT-Derived Xenografts Demonstrate Broad Activity of PARP Inhibitor in BRCA1/2 Wild-Type Tumors?,Talazoparib
Estrogen Therapy Induces Receptor-DependeNT DNA Damage Enhanced by PARP Inhibition in ER+ Breast Cancer,Olaparib
RB expression confers sensitivity to CDK4/6 inhibitor?mediated radiosensitization across breast cancer subtypes,Abemaciclib; Palbociclib
Short-term CDK4/6 Inhibition Radiosensitizes Estrogen Receptor?Positive Breast Cancers,Palbociclib
The poteNT and selective cyclin-dependeNT kinases 4 and 6 inhibitor ribociclib (LEE011) is a versatile combination partner in preclinical cancer models,Letrozole; Ribociclib
Preclinical Activity of HER2-Selective Tyrosine Kinase Inhibitor Tucatinib as a Single AgeNT or in Combination with Trastuzumab or Docetaxel in Solid Tumor Models,Docetaxel; Trastuzumab; Tucatinib
Combination Therapy With MDM2 and MEK Inhibitors Is Effective in PatieNT-Derived Models of Lung Adenocarcinoma With ConcurreNT Oncogenic Drivers and?MDM2?Amplification,Milademetan; Trametinib
Palbociclib overcomes afatinib resistance in non-small cell lung cancer,Afatinib; Palbociclib
HER2 exon 20 insertions in non-small-cell lung cancer are sensitive to the irreversible pan-HER receptor tyrosine kinase inhibitor pyrotinib,Afatinib
Novel Preclinical PatieNT-Derived Lung Cancer Models Reveal Inhibition of HER3 and MTOR Signaling as Therapeutic Strategies for?NRG1?Fusion-Positive Cancers,Afatinib
Rapid Acquisition of Alectinib Resistance in?ALK-Positive Lung Cancer With High Tumor Mutation Burden,Alectinib; Crizotinib; Erlotinib; Lorlatinib
Comparative Study on the Efficacy and Exposure of Molecular Target Agents in Non?small Cell Lung Cancer PDX Models with Driver Genetic Alterations,Afatinib; Brigatinib; Crizotinib; Entrectinib; Gefitinib; Lorlatinib; Osimertinib
Targeting AKR1B1 inhibits glutathione de novo synthesis to overcome acquired resistance to EGFR-targeted therapy in lung cancer,Gefitinib-AKR; Gefitinib-EV; Osimertinib-AKR; Osimertinib-EV
The Lifted Veil of Uncommon EGFR Mutation p.L747P in Non-Small Cell Lung Cancer: Molecular Feature and Targeting Sensitivity to Tyrosine Kinase Inhibitors,Afatinib; Dacomitinib; Osimertinib
"ONO-7475, a Novel AXL Inhibitor, Suppresses the Adaptive Resistance to Initial EGFR-TKI Treatment in?EGFR-Mutated Non?Small Cell Lung Cancer",Osimertinib
Enhancing the Therapeutic Efficacy of Gefitinib in Human Non-Small-Cell Lung Cancer through Drug Combination,DBDx; Gefitinib
Xie-Bai-San increases NSCLC cells sensitivity to gefitinib by inhibiting Beclin-1 mediated autophagosome formation,Gefitinib; XBS
Activation of the HSP27-AKT axis contributes to gefitinib resistance in non-small cell lung cancer cells independent of EGFR mutations,Gefitinib
"Mutant-Selective Irreversible EGFR Inhibitor, Naquotinib, Inhibits Tumor Growth in NSCLC Models with EGFR-Activating Mutations, T790M Mutation, and AXL Overexpression",Erlotinib
Overcoming Osimertinib Resistance with AKT Inhibition in EGFRm-Driven Non?Small Cell Lung Cancer with PIK3CA/PTEN Alterations,Capivasertib; Osimertinib
"Pharmacokinetic/Pharmacodynamic Analysis of Savolitinib plus Osimertinib in an EGFR Mutation?Positive, MET-Amplified Non?Small Cell Lung Cancer Model",Osimertinib
Evaluation of Combined Chemotherapy and Genomic-Driven Targeted Therapy in Patient-Derived Xenografts Identifies New Therapeutic Approaches in Squamous Non-Small-Cell Lung Cancer Patients,Afatinib; Trametinib
AXL and SHC1 confer crizotinib resistance in patient-derived xenograft model of ALK-driven lung cancer,Alectinib; CR; Crizotinib
"Discovery of a novel ALK/ROS1/FAK inhibitor, APG-2449, in preclinical non-small cell lung cancer and ovarian cancer models",Alectinib; Ceritinib; Crizotinib; Lorlatinib
Exploration of Immune-Modulatory Effects of Amivantamab in Combination with Pembrolizumab in Lung and Head and Neck Squamous Cell Carcinoma,Pembrolizumab; amivantamab
Repotrectinib Exhibits Potent Antitumor Activity in Treatment-Na?ve and Solvent-Front?Mutant ROS1-Rearranged Non?Small Cell Lung Cancer,Ceritinib; Crizotinib; Entrectinib; Lorlatinib; Repotrectinib
De Novo?and Histologically Transformed Small-Cell Lung Cancer Is Sensitive to Lurbinectedin Treatment Through the Modulation of EMT and NOTCH Signaling Pathways,Lurbinectedin; Osimertinib
"BBT-176, a Novel Fourth-Generation Tyrosine Kinase Inhibitor for Osimertinib-Resistant EGFR Mutations in Non?Small Cell Lung Cancer",Osimertinib
Diverse Resistance Mechanisms to the Third-Generation ALK Inhibitor Lorlatinib in ALK-Rearranged Lung Cancer,Lorlatinib
244-MPT overcomes gefitinib resistance in non-small cell lung cancer cells,Gefitinib
Osimertinib in combination with anti-angiogenesis therapy presents a promising option for osimertinib-resistant non-small cell lung cancer,Alotinib; Osimertinib
MYC?Promotes Tyrosine Kinase Inhibitor Resistance in?ROS1-Fusion-Positive Lung Cancer,Crizotinib; Ribociclib
Utility of patient-derived xenografts to evaluate drug sensitivity and select optimal treatments for individual non-small-cell lung cancer patients,Anlotinib; Carboplatin; Etoposide; Nedaplatin; Osimertinib; Paclitaxel; Sotorasib; Trametinib
WEE1 confers resistance to KRASG12C?inhibitors in non-small cell lung cancer,Adavosertib; Sotorasib
Farnesyltransferase inhibition overcomes oncogene-addicted non-small cell lung cancer adaptive resistance to targeted therapies,Osimertinib; Sotorasib; Tipifarnib
LKB1 regulates JNK-dependent stress signaling and apoptotic dependency of?KRAS-mutant lung cancers,AMG176; Sotorasib; Trametinib
Antitumor efficacy of XPO1 inhibitor Selinexor in?KRAS-mutant lung adenocarcinoma patient-derived xenografts,Crizotinib; Erlotinib; Selinexor; Trametinib
Signature-driven repurposing of Midostaurin for combination with MEK1/2 and KRASG12C inhibitors in lung cancer,Midostaurin; Trametinib
Costunolide is a dual inhibitor of MEK1 and AKT1/2 that overcomes osimertinib resistance in lung cancer,Costunolide; Osimertinib
KRT-232 and navitoclax enhance trametinib’s anti-Cancer activity in non-small cell lung cancer patient-derived xenografts with KRAS mutations,KRT-232; KRT232; Navitoclax; Trametinib
